vout	abs(1/d(I(Vout)))
2.620000000000002e-001	3.494329e+003
2.630000000000002e-001	3.515063e+003
2.640000000000002e-001	3.535498e+003
2.650000000000002e-001	3.555804e+003
2.660000000000002e-001	3.575973e+003
2.670000000000002e-001	3.595807e+003
2.680000000000002e-001	3.615863e+003
2.690000000000002e-001	3.635374e+003
2.700000000000002e-001	3.654708e+003
2.710000000000002e-001	3.674249e+003
2.720000000000002e-001	3.693206e+003
2.730000000000002e-001	3.711958e+003
2.740000000000002e-001	3.730497e+003
2.750000000000002e-001	3.749017e+003
2.760000000000002e-001	3.767309e+003
2.770000000000002e-001	3.785154e+003
2.780000000000002e-001	3.802959e+003
2.790000000000002e-001	3.820508e+003
2.800000000000002e-001	3.837791e+003
2.810000000000002e-001	3.854798e+003
2.820000000000002e-001	3.871738e+003
2.830000000000002e-001	3.888388e+003
2.840000000000002e-001	3.904516e+003
2.850000000000002e-001	3.920554e+003
2.860000000000002e-001	3.936725e+003
2.870000000000002e-001	3.952348e+003
2.880000000000002e-001	3.967637e+003
2.890000000000002e-001	3.982814e+003
2.900000000000002e-001	3.997643e+003
2.910000000000002e-001	4.012113e+003
2.920000000000002e-001	4.026453e+003
2.930000000000002e-001	4.040896e+003
2.940000000000002e-001	4.054725e+003
2.950000000000002e-001	4.068167e+003
2.960000000000002e-001	4.081699e+003
2.970000000000002e-001	4.095076e+003
2.980000000000002e-001	4.107805e+003
2.990000000000002e-001	4.120367e+003
3.000000000000002e-001	4.133005e+003
3.010000000000002e-001	4.145221e+003
3.020000000000002e-001	4.157007e+003
3.030000000000002e-001	4.168606e+003
3.040000000000002e-001	4.180271e+003
3.050000000000002e-001	4.191746e+003
3.060000000000002e-001	4.202769e+003
3.070000000000002e-001	4.213592e+003
3.080000000000002e-001	4.224212e+003
3.090000000000002e-001	4.234624e+003
3.100000000000002e-001	4.244825e+003
3.110000000000002e-001	4.254813e+003
3.120000000000002e-001	4.264582e+003
3.130000000000002e-001	4.274131e+003
3.140000000000002e-001	4.283723e+003
3.150000000000002e-001	4.292821e+003
3.160000000000002e-001	4.301689e+003
3.170000000000002e-001	4.310864e+003
3.180000000000002e-001	4.319535e+003
3.190000000000002e-001	4.327695e+003
3.200000000000002e-001	4.336161e+003
3.210000000000002e-001	4.344385e+003
