vin	V(vout)
5.470000000000054e-002	1.732050e+000
5.480000000000054e-002	1.731963e+000
5.490000000000055e-002	1.731875e+000
5.500000000000055e-002	1.731788e+000
5.510000000000055e-002	1.731701e+000
5.520000000000055e-002	1.731613e+000
5.530000000000056e-002	1.731526e+000
5.540000000000056e-002	1.731438e+000
5.550000000000056e-002	1.731351e+000
5.560000000000057e-002	1.731263e+000
5.570000000000057e-002	1.731176e+000
5.580000000000057e-002	1.731088e+000
5.590000000000057e-002	1.731001e+000
5.600000000000058e-002	1.730913e+000
5.610000000000058e-002	1.730825e+000
5.620000000000058e-002	1.730737e+000
5.630000000000059e-002	1.730650e+000
5.640000000000059e-002	1.730562e+000
5.650000000000059e-002	1.730474e+000
5.660000000000059e-002	1.730386e+000
5.670000000000060e-002	1.730298e+000
5.680000000000060e-002	1.730210e+000
5.690000000000060e-002	1.730122e+000
5.700000000000061e-002	1.730034e+000
5.710000000000061e-002	1.729946e+000
5.720000000000061e-002	1.729858e+000
5.730000000000061e-002	1.729770e+000
5.740000000000062e-002	1.729682e+000
5.750000000000062e-002	1.729594e+000
5.760000000000062e-002	1.729506e+000
5.770000000000063e-002	1.729418e+000
5.780000000000063e-002	1.729329e+000
5.790000000000063e-002	1.729241e+000
5.800000000000063e-002	1.729153e+000
5.810000000000064e-002	1.729064e+000
5.820000000000064e-002	1.728976e+000
5.830000000000064e-002	1.728888e+000
5.840000000000065e-002	1.728799e+000
5.850000000000065e-002	1.728711e+000
5.860000000000065e-002	1.728622e+000
5.870000000000065e-002	1.728534e+000
5.880000000000066e-002	1.728445e+000
5.890000000000066e-002	1.728356e+000
5.900000000000066e-002	1.728268e+000
5.910000000000067e-002	1.728179e+000
5.920000000000067e-002	1.728091e+000
5.930000000000067e-002	1.728002e+000
5.940000000000067e-002	1.727913e+000
5.950000000000068e-002	1.727824e+000
5.960000000000068e-002	1.727736e+000
5.970000000000068e-002	1.727647e+000
5.980000000000069e-002	1.727558e+000
5.990000000000069e-002	1.727469e+000
6.000000000000069e-002	1.727380e+000
6.010000000000070e-002	1.727291e+000
6.020000000000070e-002	1.727202e+000
6.030000000000070e-002	1.727113e+000
6.040000000000070e-002	1.727024e+000
6.050000000000071e-002	1.726935e+000
6.060000000000071e-002	1.726846e+000
6.070000000000071e-002	1.726757e+000
6.080000000000072e-002	1.726668e+000
6.090000000000072e-002	1.726578e+000
6.100000000000072e-002	1.726489e+000
6.110000000000072e-002	1.726400e+000
6.120000000000073e-002	1.726311e+000
6.130000000000073e-002	1.726221e+000
6.140000000000073e-002	1.726132e+000
6.150000000000074e-002	1.726043e+000
6.160000000000074e-002	1.725953e+000
6.170000000000074e-002	1.725864e+000
6.180000000000074e-002	1.725775e+000
6.190000000000075e-002	1.725685e+000
6.200000000000075e-002	1.725596e+000
6.210000000000075e-002	1.725506e+000
6.220000000000076e-002	1.725417e+000
6.230000000000076e-002	1.725327e+000
6.240000000000076e-002	1.725237e+000
6.250000000000076e-002	1.725148e+000
6.260000000000077e-002	1.725058e+000
6.270000000000077e-002	1.724968e+000
6.280000000000077e-002	1.724879e+000
6.290000000000078e-002	1.724789e+000
6.300000000000078e-002	1.724699e+000
6.310000000000078e-002	1.724609e+000
6.320000000000078e-002	1.724520e+000
6.330000000000079e-002	1.724430e+000
6.340000000000079e-002	1.724340e+000
6.350000000000079e-002	1.724250e+000
6.360000000000080e-002	1.724160e+000
6.370000000000080e-002	1.724070e+000
6.380000000000080e-002	1.723980e+000
6.390000000000080e-002	1.723890e+000
6.400000000000081e-002	1.723800e+000
6.410000000000081e-002	1.723710e+000
6.420000000000081e-002	1.723620e+000
6.430000000000082e-002	1.723530e+000
6.440000000000082e-002	1.723440e+000
6.450000000000082e-002	1.723350e+000
6.460000000000082e-002	1.723260e+000
6.470000000000083e-002	1.723169e+000
6.480000000000083e-002	1.723079e+000
6.490000000000083e-002	1.722989e+000
6.500000000000084e-002	1.722899e+000
6.510000000000084e-002	1.722808e+000
6.520000000000084e-002	1.722718e+000
6.530000000000084e-002	1.722628e+000
6.540000000000085e-002	1.722537e+000
6.550000000000085e-002	1.722447e+000
6.560000000000085e-002	1.722357e+000
6.570000000000086e-002	1.722266e+000
6.580000000000086e-002	1.722176e+000
6.590000000000086e-002	1.722085e+000
6.600000000000086e-002	1.721995e+000
6.610000000000087e-002	1.721904e+000
6.620000000000087e-002	1.721814e+000
6.630000000000087e-002	1.721723e+000
6.640000000000088e-002	1.721632e+000
6.650000000000088e-002	1.721542e+000
6.660000000000088e-002	1.721451e+000
6.670000000000088e-002	1.721361e+000
6.680000000000089e-002	1.721270e+000
6.690000000000089e-002	1.721179e+000
6.700000000000089e-002	1.721088e+000
6.710000000000090e-002	1.720998e+000
6.720000000000090e-002	1.720907e+000
6.730000000000090e-002	1.720816e+000
6.740000000000090e-002	1.720725e+000
6.750000000000091e-002	1.720634e+000
6.760000000000091e-002	1.720544e+000
6.770000000000091e-002	1.720453e+000
6.780000000000092e-002	1.720362e+000
6.790000000000092e-002	1.720271e+000
6.800000000000092e-002	1.720180e+000
6.810000000000092e-002	1.720089e+000
6.820000000000093e-002	1.719998e+000
6.830000000000093e-002	1.719907e+000
6.840000000000093e-002	1.719816e+000
6.850000000000094e-002	1.719725e+000
6.860000000000094e-002	1.719634e+000
6.870000000000094e-002	1.719542e+000
6.880000000000094e-002	1.719451e+000
6.890000000000095e-002	1.719360e+000
6.900000000000095e-002	1.719269e+000
6.910000000000095e-002	1.719178e+000
6.920000000000096e-002	1.719087e+000
6.930000000000096e-002	1.718995e+000
6.940000000000096e-002	1.718904e+000
6.950000000000096e-002	1.718813e+000
6.960000000000097e-002	1.718722e+000
6.970000000000097e-002	1.718630e+000
6.980000000000097e-002	1.718539e+000
6.990000000000098e-002	1.718447e+000
7.000000000000098e-002	1.718356e+000
7.010000000000098e-002	1.718265e+000
7.020000000000098e-002	1.718173e+000
7.030000000000099e-002	1.718082e+000
7.040000000000099e-002	1.717990e+000
7.050000000000099e-002	1.717899e+000
7.060000000000100e-002	1.717807e+000
7.070000000000100e-002	1.717716e+000
7.080000000000100e-002	1.717624e+000
7.090000000000100e-002	1.717533e+000
7.100000000000101e-002	1.717441e+000
7.110000000000101e-002	1.717350e+000
7.120000000000101e-002	1.717258e+000
7.130000000000102e-002	1.717166e+000
7.140000000000102e-002	1.717075e+000
7.150000000000102e-002	1.716983e+000
7.160000000000102e-002	1.716891e+000
7.170000000000103e-002	1.716799e+000
7.180000000000103e-002	1.716708e+000
7.190000000000103e-002	1.716616e+000
7.200000000000104e-002	1.716524e+000
7.210000000000104e-002	1.716432e+000
7.220000000000104e-002	1.716341e+000
7.230000000000104e-002	1.716249e+000
7.240000000000105e-002	1.716157e+000
7.250000000000105e-002	1.716065e+000
7.260000000000105e-002	1.715973e+000
7.270000000000106e-002	1.715881e+000
7.280000000000106e-002	1.715789e+000
7.290000000000106e-002	1.715697e+000
7.300000000000106e-002	1.715605e+000
7.310000000000107e-002	1.715513e+000
7.320000000000107e-002	1.715421e+000
7.330000000000107e-002	1.715329e+000
7.340000000000108e-002	1.715237e+000
