vds	d(Id(M1))/Id(M1)
0.000000000000000e+000	1.000000e+308
1.000000000000000e-003	9.986443e+002
2.000000000000000e-003	4.986429e+002
3.000000000000000e-003	3.319749e+002
4.000000000000000e-003	2.486404e+002
5.000000000000000e-003	1.986391e+002
6.000000000000000e-003	1.653044e+002
7.000000000000000e-003	1.414937e+002
8.000000000000000e-003	1.236353e+002
9.000000000000001e-003	1.097452e+002
1.000000000000000e-002	9.863280e+001
1.100000000000000e-002	8.954060e+001
1.200000000000000e-002	8.196362e+001
1.300000000000001e-002	7.555210e+001
1.400000000000001e-002	7.005632e+001
1.500000000000001e-002	6.529316e+001
1.600000000000001e-002	6.112521e+001
1.700000000000001e-002	5.744744e+001
1.800000000000001e-002	5.417822e+001
1.900000000000001e-002	5.125300e+001
2.000000000000001e-002	4.862007e+001
2.100000000000001e-002	4.623785e+001
2.200000000000001e-002	4.407208e+001
2.300000000000001e-002	4.209449e+001
2.400000000000001e-002	4.028159e+001
2.500000000000002e-002	3.861364e+001
2.600000000000002e-002	3.707390e+001
2.700000000000002e-002	3.564808e+001
2.800000000000002e-002	3.432402e+001
2.900000000000002e-002	3.309120e+001
3.000000000000002e-002	3.194044e+001
3.100000000000002e-002	3.086385e+001
3.200000000000002e-002	2.985447e+001
3.300000000000002e-002	2.890619e+001
3.400000000000002e-002	2.801359e+001
3.500000000000002e-002	2.717192e+001
3.600000000000003e-002	2.637698e+001
3.700000000000003e-002	2.562484e+001
3.800000000000003e-002	2.491229e+001
3.900000000000003e-002	2.423619e+001
4.000000000000003e-002	2.359383e+001
4.100000000000003e-002	2.298274e+001
4.200000000000003e-002	2.240064e+001
4.300000000000003e-002	2.184555e+001
4.400000000000003e-002	2.131569e+001
4.500000000000003e-002	2.080927e+001
4.600000000000003e-002	2.032482e+001
4.700000000000004e-002	1.986092e+001
4.800000000000004e-002	1.941626e+001
4.900000000000004e-002	1.898978e+001
5.000000000000004e-002	1.858022e+001
5.100000000000004e-002	1.818667e+001
5.200000000000004e-002	1.780821e+001
5.300000000000004e-002	1.744398e+001
5.400000000000004e-002	1.709319e+001
5.500000000000004e-002	1.675511e+001
5.600000000000004e-002	1.642902e+001
5.700000000000004e-002	1.611432e+001
5.800000000000005e-002	1.581047e+001
5.900000000000005e-002	1.551683e+001
6.000000000000005e-002	1.523297e+001
6.100000000000005e-002	1.495830e+001
6.200000000000005e-002	1.469245e+001
6.300000000000004e-002	1.443507e+001
6.400000000000004e-002	1.418562e+001
6.500000000000004e-002	1.394377e+001
6.600000000000005e-002	1.370927e+001
6.700000000000005e-002	1.348170e+001
6.800000000000005e-002	1.326075e+001
6.900000000000005e-002	1.304622e+001
7.000000000000005e-002	1.283772e+001
7.100000000000005e-002	1.263506e+001
7.200000000000005e-002	1.243799e+001
7.300000000000005e-002	1.224628e+001
7.400000000000005e-002	1.205974e+001
7.500000000000005e-002	1.187807e+001
7.600000000000005e-002	1.170115e+001
7.700000000000006e-002	1.152882e+001
7.800000000000006e-002	1.136087e+001
7.900000000000006e-002	1.119708e+001
8.000000000000006e-002	1.103735e+001
8.100000000000006e-002	1.088161e+001
8.200000000000006e-002	1.072955e+001
8.300000000000006e-002	1.058109e+001
8.400000000000006e-002	1.043622e+001
8.500000000000006e-002	1.029469e+001
8.600000000000006e-002	1.015633e+001
8.700000000000006e-002	1.002115e+001
8.800000000000006e-002	9.889092e+000
8.900000000000007e-002	9.759886e+000
9.000000000000007e-002	9.633544e+000
9.100000000000007e-002	9.509920e+000
